k,k_prime,Prob.
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.009615384615384616
15,10,0.028846153846153848
15,11,0.07692307692307693
15,12,0.21153846153846154
15,13,0.3269230769230769
15,14,0.34615384615384615
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
15,20,0.0
16,0,0.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.03333333333333333
16,12,0.05
16,13,0.16666666666666666
16,14,0.36666666666666664
16,15,0.38333333333333336
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
17,0,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.0
17,9,0.0
17,10,0.0
17,11,0.0
17,12,0.0
17,13,0.03333333333333333
17,14,0.3
17,15,0.3
17,16,0.36666666666666664
17,17,0.0
17,18,0.0
17,19,0.0
17,20,0.0
18,0,0.0
18,1,0.0
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.0
18,7,0.0
18,8,0.0
18,9,0.0
18,10,0.0
18,11,0.0
18,12,0.0
18,13,0.07142857142857142
18,14,0.14285714285714285
18,15,0.2857142857142857
18,16,0.35714285714285715
18,17,0.14285714285714285
18,18,0.0
18,19,0.0
18,20,0.0
19,0,0.0
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.0
19,9,0.0
19,10,0.0
19,11,0.0
19,12,0.0
19,13,0.0
19,14,0.0
19,15,0.3333333333333333
19,16,0.6666666666666666
19,17,0.0
19,18,0.0
19,19,0.0
19,20,0.0
20,0,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
20,12,0.0
20,13,0.0
20,14,0.0
20,15,0.0
20,16,0.0
20,17,1.0
20,18,0.0
20,19,0.0
20,20,0.0
