k,Pk
1,0.882464327184216
3,0.012197017912927722
2,0.09714253093587395
4,0.0039717435346817015
6,0.0010336249993926998
5,0.001999232372503389
7,0.0005769352229277701
8,0.00031579612202362154
9,0.00020648207978467563
10,6.437382487404593e-05
12,4.858401877286485e-06
11,2.1862808447789184e-05
13,1.2146004693216213e-06
