k,k_prime,Prob.
12,2,0.057690817512592016
12,3,0.08889577683068578
12,4,0.12484308407593955
12,5,0.15228206121658272
12,6,0.1579000387446726
12,7,0.14550174351026735
12,8,0.11676094537001162
12,9,0.07338240991863619
12,10,0.03288647810925998
12,11,0.008764044943820225
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
13,0,0.0
13,1,0.04179817173881049
13,2,0.04874818073293977
13,3,0.06807738221778875
13,4,0.09402953344998446
13,5,0.12336674788637962
13,6,0.14367712711157626
13,7,0.1464080718222106
13,8,0.13345652564962143
13,9,0.10261483867802652
13,10,0.060931137675589934
13,11,0.028486860394760512
13,12,0.008405422642311654
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,0.0
14,0,0.0
14,1,0.05720460179241085
14,2,0.05428081103413208
14,3,0.06330642598360135
14,4,0.07500158901671646
14,5,0.09813767240831374
14,6,0.11923981440284752
14,7,0.12432466789550627
14,8,0.11377359689823938
14,9,0.10557427064132714
14,10,0.08841289010360388
14,11,0.06120892391787962
14,12,0.03000063560668658
14,13,0.009534100298735143
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.0
14,20,0.0
15,0,0.0
15,1,0.04922992299229923
15,2,0.052255225522552254
15,3,0.05308030803080308
15,4,0.050605060506050605
15,5,0.06875687568756876
15,6,0.10203520352035203
15,7,0.10863586358635864
15,8,0.10616061606160616
15,9,0.09845984598459846
15,10,0.10368536853685369
15,11,0.09103410341034103
15,12,0.0638063806380638
15,13,0.035753575357535754
15,14,0.0165016501650165
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
15,20,0.0
16,0,0.0
16,1,0.07516040329972502
16,2,0.04216315307057745
16,3,0.03941338221814849
16,4,0.03666361136571952
16,5,0.034830430797433545
16,6,0.021081576535288724
16,7,0.054995417048579284
16,8,0.06966086159486709
16,9,0.09074243813015583
16,10,0.11915673693858846
16,11,0.12190650779101742
16,12,0.09074243813015583
16,13,0.08799266727772685
16,14,0.08157653528872594
16,15,0.03391384051329056
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
17,0,0.0
17,1,0.06722689075630252
17,2,0.0196078431372549
17,3,0.0028011204481792717
17,4,0.0028011204481792717
17,5,0.022408963585434174
17,6,0.0196078431372549
17,7,0.03361344537815126
17,8,0.047619047619047616
17,9,0.08403361344537816
17,10,0.09243697478991597
17,11,0.09243697478991597
17,12,0.15126050420168066
17,13,0.16246498599439776
17,14,0.0700280112044818
17,15,0.08403361344537816
17,16,0.047619047619047616
17,17,0.0
17,18,0.0
17,19,0.0
17,20,0.0
18,0,0.0
18,1,0.07009345794392523
18,2,0.014018691588785047
18,3,0.0
18,4,0.018691588785046728
18,5,0.02336448598130841
18,6,0.018691588785046728
18,7,0.03271028037383177
18,8,0.04205607476635514
18,9,0.10747663551401869
18,10,0.04205607476635514
18,11,0.04672897196261682
18,12,0.06074766355140187
18,13,0.08878504672897196
18,14,0.22429906542056074
18,15,0.14485981308411214
18,16,0.0514018691588785
18,17,0.014018691588785047
18,18,0.0
18,19,0.0
18,20,0.0
19,0,0.0
19,1,0.06382978723404255
19,2,0.0
19,3,0.0
19,4,0.0425531914893617
19,5,0.0425531914893617
19,6,0.0
19,7,0.0
19,8,0.0
19,9,0.06382978723404255
19,10,0.10638297872340426
19,11,0.1702127659574468
19,12,0.2765957446808511
19,13,0.0851063829787234
19,14,0.0425531914893617
19,15,0.06382978723404255
19,16,0.0425531914893617
19,17,0.0
19,18,0.0
19,19,0.0
19,20,0.0
20,0,0.0
20,1,0.07142857142857142
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.07142857142857142
20,6,0.07142857142857142
20,7,0.0
20,8,0.0
20,9,0.14285714285714285
20,10,0.21428571428571427
20,11,0.07142857142857142
20,12,0.14285714285714285
20,13,0.0
20,14,0.07142857142857142
20,15,0.07142857142857142
20,16,0.0
20,17,0.07142857142857142
20,18,0.0
20,19,0.0
20,20,0.0
