k,k_prime,Prob.
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.0
14,20,0.0
15,0,0.0
15,1,0.04924242424242424
15,2,0.03740530303030303
15,3,0.04214015151515151
15,4,0.06415719696969698
15,5,0.08806818181818182
15,6,0.10558712121212122
15,7,0.13139204545454544
15,8,0.12452651515151515
15,9,0.12002840909090909
15,10,0.09564393939393939
15,11,0.07315340909090909
15,12,0.03787878787878788
15,13,0.02012310606060606
15,14,0.01065340909090909
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
15,20,0.0
16,0,0.0
16,1,0.05737704918032787
16,2,0.03114754098360656
16,3,0.03770491803278689
16,4,0.05
16,5,0.036065573770491806
16,6,0.04262295081967213
16,7,0.06639344262295081
16,8,0.09508196721311475
16,9,0.07049180327868852
16,10,0.14016393442622951
16,11,0.12868852459016394
16,12,0.09672131147540984
16,13,0.07459016393442623
16,14,0.047540983606557376
16,15,0.02540983606557377
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
17,0,0.0
17,1,0.05822784810126582
17,2,0.012658227848101266
17,3,0.005063291139240506
17,4,0.020253164556962026
17,5,0.027848101265822784
17,6,0.007594936708860759
17,7,0.010126582278481013
17,8,0.043037974683544304
17,9,0.06582278481012659
17,10,0.12151898734177215
17,11,0.14430379746835442
17,12,0.1670886075949367
17,13,0.1341772151898734
17,14,0.10632911392405063
17,15,0.0379746835443038
17,16,0.0379746835443038
17,17,0.0
17,18,0.0
17,19,0.0
17,20,0.0
18,0,0.0
18,1,0.0446927374301676
18,2,0.0111731843575419
18,3,0.00558659217877095
18,4,0.0335195530726257
18,5,0.03910614525139665
18,6,0.0111731843575419
18,7,0.0335195530726257
18,8,0.0446927374301676
18,9,0.03910614525139665
18,10,0.08379888268156424
18,11,0.0782122905027933
18,12,0.08379888268156424
18,13,0.1452513966480447
18,14,0.16759776536312848
18,15,0.10614525139664804
18,16,0.055865921787709494
18,17,0.01675977653631285
18,18,0.0
18,19,0.0
18,20,0.0
19,0,0.0
19,1,0.0392156862745098
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.0
19,9,0.0392156862745098
19,10,0.058823529411764705
19,11,0.09803921568627451
19,12,0.058823529411764705
19,13,0.058823529411764705
19,14,0.21568627450980393
19,15,0.37254901960784315
19,16,0.0392156862745098
19,17,0.0196078431372549
19,18,0.0
19,19,0.0
19,20,0.0
20,0,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.05263157894736842
20,10,0.10526315789473684
20,11,0.0
20,12,0.0
20,13,0.05263157894736842
20,14,0.3684210526315789
20,15,0.3157894736842105
20,16,0.10526315789473684
20,17,0.0
20,18,0.0
20,19,0.0
20,20,0.0
