k,k_prime,Prob.
12,6,0.004577822990844354
12,7,0.01780264496439471
12,8,0.061037639877924724
12,9,0.1953204476093591
12,10,0.3718209562563581
12,11,0.34587995930824006
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
13,0,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0010351966873706005
13,7,0.0010351966873706005
13,8,0.017598343685300208
13,9,0.07453416149068323
13,10,0.18840579710144928
13,11,0.32919254658385094
13,12,0.38819875776397517
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,0.0
14,0,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.0
14,9,0.04436860068259386
14,10,0.14334470989761092
14,11,0.18771331058020477
14,12,0.3037542662116041
14,13,0.32081911262798635
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.0
14,20,0.0
15,0,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.06060606060606061
15,10,0.06060606060606061
15,11,0.12121212121212122
15,12,0.18181818181818182
15,13,0.2828282828282828
15,14,0.29292929292929293
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
15,20,0.0
16,0,0.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.01694915254237288
16,10,0.01694915254237288
16,11,0.05084745762711865
16,12,0.06779661016949153
16,13,0.22033898305084745
16,14,0.2542372881355932
16,15,0.3728813559322034
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
17,0,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.0
17,9,0.0
17,10,0.0
17,11,0.0
17,12,0.0
17,13,0.16666666666666666
17,14,0.3
17,15,0.23333333333333334
17,16,0.3
17,17,0.0
17,18,0.0
17,19,0.0
17,20,0.0
18,0,0.0
18,1,0.0
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.0
18,7,0.0
18,8,0.0
18,9,0.0
18,10,0.0
18,11,0.0
18,12,0.0
18,13,0.0
18,14,0.14285714285714285
18,15,0.42857142857142855
18,16,0.21428571428571427
18,17,0.21428571428571427
18,18,0.0
18,19,0.0
18,20,0.0
19,0,0.0
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.0
