k,Pk
1,0.8379747600137267
2,0.1268350842689323
3,0.01853270450119521
4,0.006333070154609809
5,0.004175899597177135
7,0.0017116405823269754
6,0.003035644915126959
8,0.0008591764491680504
9,0.000337293879458551
10,0.00013844151768821125
11,5.20204490707218e-05
12,1.4263671519391461e-05
