k,Pk
1,0.5559223276404427
2,0.1307601268392438
4,0.059313563678982155
5,0.04891615015061298
7,0.03171556173061728
3,0.07411837639327067
6,0.03996563332785092
8,0.023700122031590196
9,0.0161711984744326
10,0.009611856731922705
11,0.0052838183351026574
12,0.0026085546330023566
13,0.001245619341949538
14,0.0003968039454963902
15,0.00012996766910461477
16,8.2811258190551e-05
17,3.680500364024489e-05
18,1.610218909260714e-05
19,3.4504690912729585e-06
20,1.1501563637576528e-06
