N,t_max,beta,alpha,n0,L,epsilon,JSD_gsize,JSD_gsize_log,JSD_T
300,1000,0.8,0.2,5.0,1.0,5,0.6192283037971829,0.6107397051846523,7.979025322739412
300,1000,0.8,0.2,5.0,1.0,20,0.5115200162708553,0.5672299855363062,8.001744163550498
